flow_id,src,dst,flow_size,event_time,establish,idx
flow_4680,server_44,server_16,151.25975288573986,0.0,1,0
flow_659,server_30,server_26,23794.58354494488,1.3156532200944757,1,1
flow_4830,server_46,server_5,123.18387850273427,1.3860443686935071,1,2
flow_2071,server_25,server_14,2876.3608960058227,1.733440343904927,1,3
flow_835,server_49,server_16,16361.352595551967,3.509441065344298,1,4
flow_3058,server_42,server_25,1005.1192494614312,3.8103713284150333,1,5
flow_3994,server_46,server_26,359.95349268161596,4.501887967118288,1,6
flow_2317,server_55,server_23,2241.5762410306124,6.30217505917995,1,7
flow_3597,server_33,server_23,570.0388213478076,6.432078228100469,1,8
flow_178,server_6,server_0,121817.80088125837,9.647062347439725,1,9
flow_3920,server_47,server_25,397.0330975351004,13.149676147508721,1,10
flow_5251,server_5,server_12,61.02143171901131,20.35118405660146,1,11
flow_1186,server_53,server_46,9083.286003827594,34.3561746799561,1,12
flow_241,server_35,server_22,81677.74056679751,36.31456608885836,1,13
flow_3252,server_28,server_5,834.7861736309446,37.143054898442074,1,14
flow_813,server_16,server_41,17090.670574023312,39.29957064723653,1,15
flow_636,server_59,server_18,24620.007614386293,39.918788706063516,1,16
flow_4437,server_25,server_1,204.46931140204597,40.131408214225296,1,17
flow_4921,server_15,server_62,108.78572946060763,47.14168610090245,1,18
flow_4571,server_5,server_6,175.54392160035195,49.686991719843206,1,19
flow_947,server_49,server_25,13294.06195177814,50.30905099801074,1,20
flow_484,server_54,server_62,35283.06145986051,57.72468508363146,1,21
flow_2411,server_21,server_26,2015.885603614726,59.60367931185751,1,22
flow_2375,server_7,server_6,2099.48392000027,63.406808211185414,1,23
flow_2963,server_27,server_7,1110.783457962902,63.720449358616534,1,24
flow_2260,server_23,server_58,2386.83422058287,65.40205064216624,1,25
flow_4471,server_16,server_27,197.88974683478853,69.6629925700494,1,26
flow_642,server_63,server_18,24349.073166829927,69.88125203950051,1,27
flow_2719,server_18,server_40,1455.7448893814299,74.78776783908349,1,28
flow_4655,server_18,server_21,155.40991109475866,77.19872015211394,1,29
flow_1084,server_51,server_7,10857.994087312647,77.35092027147462,1,30
flow_5658,server_43,server_23,23.195579404775184,77.38074904906642,1,31
flow_159,server_0,server_36,143130.362300009,81.71968788291177,1,32
flow_3394,server_37,server_5,716.2716031233449,81.93787910917084,1,33
flow_5598,server_26,server_1,27.574862391644565,82.85451850348339,1,34
flow_3257,server_16,server_15,830.9265961299484,101.19762894513669,1,35
